-------------------Pass: 0------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
1103	6/30/1995	  A	      B
965	12/31/1996	  B	      D
974	12/31/1996	  F	      C
976	12/31/1996	  A	      D
980	12/31/1996	  F	      C
985	12/31/1996	  A	      B
989	12/31/1996	  D	      A
993	12/31/1996	  B	      F
997	12/31/1996	  A	      D
1003	12/31/1996	  A	      D
1005	12/31/1996	  B	      F
1011	12/31/1996	  A	      B
1013	12/31/1996	  A	      D
1038	12/31/1996	  F	      C
1049	12/31/1996	  A	      C
1050	12/31/1996	  A	      C
1056	12/31/1996	  A	      D
1057	12/31/1996	  C	      B
1061	12/31/1996	  F	      D
715	6/30/1997	  B	      A
629	12/31/1997	  A	      F
632	12/31/1997	  A	      C
637	12/31/1997	  C	      F
640	12/31/1997	  B	      A
655	12/31/1997	  A	      D
656	12/31/1997	  A	      D
660	12/31/1997	  A	      F
677	12/31/1997	  A	      B
682	12/31/1997	  B	      F
684	12/31/1997	  B	      D
686	12/31/1997	  B	      A
690	12/31/1997	  A	      B
691	12/31/1997	  A	      D
698	12/31/1997	  A	      D
700	12/31/1997	  A	      B
704	12/31/1997	  A	      B
706	12/31/1997	  A	      F
707	12/31/1997	  D	      F
712	12/31/1997	  A	      D
713	12/31/1997	  A	      B
717	12/31/1997	  C	      F
720	12/31/1997	  A	      F
723	12/31/1997	  A	      D
744	12/31/1997	  A	      D
751	12/31/1997	  A	      B
752	12/31/1997	  A	      B
755	12/31/1997	  A	      D
767	12/31/1997	  A	      B
769	12/31/1997	  A	      D
771	12/31/1997	  A	      B
776	12/31/1997	  A	      B
778	12/31/1997	  A	      B
781	12/31/1997	  B	      C
783	12/31/1997	  F	      A
786	12/31/1997	  A	      D
789	12/31/1997	  C	      B
796	12/31/1997	  A	      D
797	12/31/1997	  A	      B
798	12/31/1997	  A	      B
806	12/31/1997	  A	      B
808	12/31/1997	  D	      A
814	12/31/1997	  A	      B
823	12/31/1997	  A	      F
-------------------------------------------------
 
-----------False positives in fold no.2----------
 
rm_key | statement_date | predicted | actual 
836	12/31/1997	  A	      B
865	12/31/1997	  B	      D
880	12/31/1997	  A	      B
881	12/31/1997	  A	      B
884	12/31/1997	  A	      B
890	12/31/1997	  A	      B
910	12/31/1997	  A	      D
923	12/31/1997	  A	      B
930	12/31/1997	  A	      B
933	12/31/1997	  A	      B
971	12/31/1997	  A	      D
974	12/31/1997	  C	      F
976	12/31/1997	  B	      C
980	12/31/1997	  A	      C
985	12/31/1997	  A	      B
989	12/31/1997	  D	      A
993	12/31/1997	  F	      B
995	12/31/1997	  C	      A
1003	12/31/1997	  A	      D
1005	12/31/1997	  F	      B
1006	12/31/1997	  B	      A
1011	12/31/1997	  A	      D
1042	12/31/1997	  F	      C
1054	12/31/1997	  A	      D
1057	12/31/1997	  A	      B
1061	12/31/1997	  D	      F
1065	12/31/1997	  A	      B
629	12/31/1998	  A	      F
632	12/31/1998	  B	      F
633	12/31/1998	  A	      B
637	12/31/1998	  C	      A
640	12/31/1998	  A	      C
656	12/31/1998	  A	      D
660	12/31/1998	  A	      B
667	12/31/1998	  B	      F
677	12/31/1998	  A	      B
686	12/31/1998	  B	      D
700	12/31/1998	  A	      B
712	12/31/1998	  A	      B
717	12/31/1998	  F	      C
720	12/31/1998	  A	      C
722	12/31/1998	  C	      A
744	12/31/1998	  A	      B
749	12/31/1998	  A	      D
751	12/31/1998	  A	      B
755	12/31/1998	  A	      D
766	12/31/1998	  D	      A
767	12/31/1998	  C	      A
769	12/31/1998	  F	      A
778	12/31/1998	  B	      A
781	12/31/1998	  C	      B
786	12/31/1998	  D	      A
787	12/31/1998	  A	      B
792	12/31/1998	  D	      A
794	12/31/1998	  B	      F
796	12/31/1998	  B	      A
798	12/31/1998	  A	      B
808	12/31/1998	  D	      A
823	12/31/1998	  F	      A
905	12/31/1998	  A	      B
910	12/31/1998	  A	      D
-------------------------------------------------
 
-----------False positives in fold no.3----------
 
rm_key | statement_date | predicted | actual 
923	12/31/1998	  B	      A
930	12/31/1998	  A	      B
974	12/31/1998	  F	      C
976	12/31/1998	  A	      B
980	12/31/1998	  A	      B
985	12/31/1998	  B	      A
989	12/31/1998	  A	      D
991	12/31/1998	  A	      B
995	12/31/1998	  A	      C
996	12/31/1998	  A	      D
997	12/31/1998	  D	      A
1003	12/31/1998	  D	      B
1005	12/31/1998	  F	      B
1008	12/31/1998	  C	      B
1011	12/31/1998	  A	      C
1057	12/31/1998	  B	      C
1061	12/31/1998	  A	      F
1062	12/31/1998	  A	      B
1065	12/31/1998	  A	      B
629	12/31/1999	  A	      F
632	12/31/1999	  A	      B
637	12/31/1999	  A	      C
660	12/31/1999	  A	      B
671	12/31/1999	  A	      B
677	12/31/1999	  A	      B
686	12/31/1999	  B	      D
690	12/31/1999	  D	      A
694	12/31/1999	  A	      D
698	12/31/1999	  D	      A
699	12/31/1999	  A	      C
712	12/31/1999	  A	      B
717	12/31/1999	  C	      F
722	12/31/1999	  A	      D
744	12/31/1999	  A	      B
748	12/31/1999	  A	      B
751	12/31/1999	  A	      B
759	12/31/1999	  A	      D
771	12/31/1999	  A	      B
774	12/31/1999	  A	      B
780	12/31/1999	  A	      D
781	12/31/1999	  B	      D
790	12/31/1999	  B	      A
791	12/31/1999	  A	      B
794	12/31/1999	  B	      F
797	12/31/1999	  A	      F
798	12/31/1999	  A	      B
801	12/31/1999	  A	      D
805	12/31/1999	  A	      D
808	12/31/1999	  A	      D
814	12/31/1999	  A	      B
815	12/31/1999	  A	      D
823	12/31/1999	  A	      F
831	12/31/1999	  A	      D
832	12/31/1999	  A	      D
862	12/31/1999	  A	      B
865	12/31/1999	  B	      A
905	12/31/1999	  A	      B
910	12/31/1999	  D	      C
916	12/31/1999	  A	      F
923	12/31/1999	  B	      A
933	12/31/1999	  A	      B
936	12/31/1999	  A	      D
938	12/31/1999	  A	      B
955	12/31/1999	  A	      B
965	12/31/1999	  B	      A
971	12/31/1999	  A	      D
976	12/31/1999	  C	      B
977	12/31/1999	  A	      D
979	12/31/1999	  A	      D
980	12/31/1999	  A	      B
985	12/31/1999	  A	      B
989	12/31/1999	  A	      F
991	12/31/1999	  A	      B
996	12/31/1999	  A	      D
997	12/31/1999	  D	      A
998	12/31/1999	  A	      C
1003	12/31/1999	  D	      A
1004	12/31/1999	  C	      F
1005	12/31/1999	  F	      D
1008	12/31/1999	  A	      B
1010	12/31/1999	  A	      B
1011	12/31/1999	  A	      C
1042	12/31/1999	  A	      F
1048	12/31/1999	  A	      C
1049	12/31/1999	  B	      C
-------------------------------------------------
 
-----------False positives in fold no.4----------
 
rm_key | statement_date | predicted | actual 
1057	12/31/1999	  B	      C
1061	12/31/1999	  A	      F
1062	12/31/1999	  A	      B
1065	12/31/1999	  A	      B
259	12/31/2004	  A	      D
372	12/31/2004	  A	      B
449	12/31/2004	  A	      D
629	12/31/2004	  A	      C
632	12/31/2004	  F	      B
647	12/31/2004	  A	      B
669	12/31/2004	  A	      B
671	12/31/2004	  A	      D
677	12/31/2004	  A	      C
681	12/31/2004	  A	      B
682	12/31/2004	  B	      D
684	12/31/2004	  B	      C
686	12/31/2004	  B	      F
690	12/31/2004	  A	      D
698	12/31/2004	  A	      F
700	12/31/2004	  A	      F
706	12/31/2004	  A	      B
708	12/31/2004	  A	      D
714	12/31/2004	  A	      D
718	12/31/2004	  B	      C
719	12/31/2004	  A	      D
720	12/31/2004	  A	      C
722	12/31/2004	  A	      C
744	12/31/2004	  B	      C
746	12/31/2004	  A	      B
748	12/31/2004	  B	      A
751	12/31/2004	  A	      B
755	12/31/2004	  D	      A
756	12/31/2004	  A	      D
758	12/31/2004	  A	      D
759	12/31/2004	  A	      B
760	12/31/2004	  A	      D
766	12/31/2004	  A	      B
767	12/31/2004	  C	      A
769	12/31/2004	  A	      F
772	12/31/2004	  A	      B
778	12/31/2004	  B	      A
780	12/31/2004	  A	      D
781	12/31/2004	  A	      C
783	12/31/2004	  A	      F
784	12/31/2004	  A	      C
786	12/31/2004	  D	      C
787	12/31/2004	  B	      A
788	12/31/2004	  A	      C
789	12/31/2004	  A	      C
790	12/31/2004	  A	      B
792	12/31/2004	  A	      B
794	12/31/2004	  A	      C
796	12/31/2004	  A	      B
803	12/31/2004	  A	      C
808	12/31/2004	  A	      D
809	12/31/2004	  A	      C
817	12/31/2004	  A	      B
831	12/31/2004	  A	      D
832	12/31/2004	  A	      D
834	12/31/2004	  A	      D
835	12/31/2004	  A	      B
865	12/31/2004	  B	      C
902	12/31/2004	  A	      B
917	12/31/2004	  A	      B
923	12/31/2004	  B	      A
953	12/31/2004	  A	      B
955	12/31/2004	  C	      D
957	12/31/2004	  A	      B
960	12/31/2004	  B	      F
972	12/31/2004	  A	      D
974	12/31/2004	  C	      F
976	12/31/2004	  B	      F
977	12/31/2004	  A	      B
979	12/31/2004	  A	      C
980	12/31/2004	  C	      F
981	12/31/2004	  A	      C
985	12/31/2004	  A	      C
986	12/31/2004	  A	      B
987	12/31/2004	  A	      B
988	12/31/2004	  A	      C
992	12/31/2004	  A	      C
993	12/31/2004	  C	      F
995	12/31/2004	  C	      F
996	12/31/2004	  A	      B
997	12/31/2004	  A	      D
998	12/31/2004	  A	      F
1000	12/31/2004	  A	      B
1002	12/31/2004	  A	      D
1003	12/31/2004	  A	      B
1005	12/31/2004	  A	      D
1006	12/31/2004	  A	      B
1007	12/31/2004	  A	      B
1011	12/31/2004	  A	      D
1013	12/31/2004	  A	      F
1044	12/31/2004	  A	      D
1046	12/31/2004	  A	      B
1048	12/31/2004	  A	      B
1049	12/31/2004	  B	      A
1050	12/31/2004	  F	      C
1051	12/31/2004	  A	      B
1054	12/31/2004	  A	      B
1061	12/31/2004	  A	      B
1062	12/31/2004	  A	      B
1068	12/31/2004	  A	      D
1150	12/31/2004	  A	      D
1163	12/31/2004	  A	      C
1164	12/31/2004	  A	      D
-------------------------------------------------
 
Total false positives :444.0
Total Prediction Accuracy: 72.79411764705883
Total A's: 1142.0, Correctly Predicted A's: 833.0, Accuracy: 72.94220665499124
Total B's: 231.0, Correctly Predicted B's: 170.0, Accuracy: 73.5930735930736
Total C's: 105.0, Correctly Predicted C's: 79.0, Accuracy: 75.23809523809524
Total D's: 80.0, Correctly Predicted D's: 57.0, Accuracy: 71.25
Total F's: 74.0, Correctly Predicted F's: 49.0, Accuracy: 66.21621621621621



-------------------Pass: 1------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
629	12/31/1996	  C	      A
632	12/31/1996	  A	      D
633	12/31/1996	  A	      C
637	12/31/1996	  A	      C
647	12/31/1996	  A	      F
653	12/31/1996	  A	      F
660	12/31/1996	  A	      B
662	12/31/1996	  A	      D
667	12/31/1996	  F	      C
669	12/31/1996	  A	      D
674	12/31/1996	  A	      D
675	12/31/1996	  A	      C
682	12/31/1996	  B	      C
685	12/31/1996	  A	      B
686	12/31/1996	  D	      B
690	12/31/1996	  A	      B
691	12/31/1996	  A	      D
699	12/31/1996	  A	      F
700	12/31/1996	  A	      F
706	12/31/1996	  B	      A
707	12/31/1996	  A	      D
715	12/31/1996	  A	      B
718	12/31/1996	  A	      B
722	12/31/1996	  A	      C
748	12/31/1996	  A	      B
751	12/31/1996	  A	      C
755	12/31/1996	  A	      B
760	12/31/1996	  A	      F
766	12/31/1996	  A	      D
767	12/31/1996	  A	      C
774	12/31/1996	  A	      F
777	12/31/1996	  A	      B
778	12/31/1996	  A	      B
781	12/31/1996	  B	      C
783	12/31/1996	  A	      C
786	12/31/1996	  A	      D
788	12/31/1996	  A	      C
790	12/31/1996	  B	      A
792	12/31/1996	  A	      D
794	12/31/1996	  F	      B
803	12/31/1996	  A	      B
808	12/31/1996	  A	      B
814	12/31/1996	  A	      F
823	12/31/1996	  A	      B
824	12/31/1996	  A	      B
832	12/31/1996	  A	      B
833	12/31/1996	  A	      D
840	12/31/1996	  A	      F
842	12/31/1996	  D	      A
865	12/31/1996	  A	      B
910	12/31/1996	  C	      A
918	12/31/1996	  B	      A
923	12/31/1996	  A	      B
933	12/31/1996	  B	      A
953	12/31/1996	  A	      B
965	12/31/1996	  B	      D
974	12/31/1996	  F	      C
976	12/31/1996	  A	      D
979	12/31/1996	  D	      A
980	12/31/1996	  A	      C
985	12/31/1996	  A	      B
989	12/31/1996	  D	      A
993	12/31/1996	  B	      F
995	12/31/1996	  F	      C
996	12/31/1996	  D	      A
997	12/31/1996	  A	      D
1003	12/31/1996	  B	      D
1005	12/31/1996	  B	      F
1008	12/31/1996	  B	      C
1011	12/31/1996	  A	      B
1013	12/31/1996	  A	      D
1038	12/31/1996	  F	      C
1049	12/31/1996	  A	      C
1050	12/31/1996	  A	      C
1056	12/31/1996	  A	      D
1057	12/31/1996	  C	      B
1061	12/31/1996	  F	      D
1065	12/31/1996	  B	      A
629	12/31/1997	  A	      F
632	12/31/1997	  A	      C
637	12/31/1997	  A	      F
655	12/31/1997	  A	      D
656	12/31/1997	  A	      D
660	12/31/1997	  A	      F
667	12/31/1997	  C	      B
677	12/31/1997	  A	      B
682	12/31/1997	  B	      F
684	12/31/1997	  B	      D
686	12/31/1997	  D	      A
690	12/31/1997	  A	      B
691	12/31/1997	  A	      D
698	12/31/1997	  A	      D
700	12/31/1997	  A	      B
704	12/31/1997	  A	      B
706	12/31/1997	  A	      F
707	12/31/1997	  A	      F
712	12/31/1997	  A	      D
713	12/31/1997	  A	      B
717	12/31/1997	  B	      F
720	12/31/1997	  A	      F
723	12/31/1997	  A	      D
744	12/31/1997	  A	      D
748	12/31/1997	  A	      B
751	12/31/1997	  A	      B
752	12/31/1997	  A	      B
755	12/31/1997	  A	      D
760	12/31/1997	  A	      F
-------------------------------------------------
 
-----------False positives in fold no.1----------
 
rm_key | statement_date | predicted | actual 
767	12/31/1997	  A	      B
769	12/31/1997	  A	      D
771	12/31/1997	  A	      B
776	12/31/1997	  A	      B
777	12/31/1997	  B	      A
778	12/31/1997	  A	      B
781	12/31/1997	  B	      C
783	12/31/1997	  C	      A
786	12/31/1997	  C	      D
788	12/31/1997	  B	      A
790	12/31/1997	  A	      B
796	12/31/1997	  B	      D
797	12/31/1997	  A	      B
806	12/31/1997	  A	      B
808	12/31/1997	  B	      A
814	12/31/1997	  A	      B
823	12/31/1997	  A	      F
832	12/31/1997	  B	      A
836	12/31/1997	  A	      B
865	12/31/1997	  A	      D
881	12/31/1997	  A	      B
884	12/31/1997	  A	      B
890	12/31/1997	  A	      B
910	12/31/1997	  C	      D
923	12/31/1997	  A	      B
930	12/31/1997	  A	      B
933	12/31/1997	  A	      B
953	12/31/1997	  A	      B
965	12/31/1997	  A	      B
971	12/31/1997	  A	      D
976	12/31/1997	  B	      C
979	12/31/1997	  D	      A
980	12/31/1997	  A	      C
985	12/31/1997	  A	      B
989	12/31/1997	  D	      A
993	12/31/1997	  D	      B
995	12/31/1997	  C	      A
996	12/31/1997	  D	      A
1003	12/31/1997	  B	      D
1008	12/31/1997	  B	      C
1011	12/31/1997	  C	      D
1042	12/31/1997	  F	      C
1054	12/31/1997	  A	      D
1057	12/31/1997	  A	      B
1061	12/31/1997	  D	      F
1062	12/31/1997	  B	      A
1065	12/31/1997	  A	      B
629	12/31/1998	  A	      F
632	12/31/1998	  A	      F
637	12/31/1998	  C	      A
640	12/31/1998	  A	      C
656	12/31/1998	  A	      D
660	12/31/1998	  A	      B
667	12/31/1998	  B	      F
677	12/31/1998	  A	      B
682	12/31/1998	  F	      B
700	12/31/1998	  A	      B
712	12/31/1998	  F	      B
717	12/31/1998	  B	      C
720	12/31/1998	  A	      C
749	12/31/1998	  A	      D
751	12/31/1998	  A	      B
755	12/31/1998	  F	      D
777	12/31/1998	  B	      A
786	12/31/1998	  C	      A
787	12/31/1998	  A	      B
788	12/31/1998	  B	      A
796	12/31/1998	  B	      A
798	12/31/1998	  A	      B
805	12/31/1998	  C	      A
808	12/31/1998	  D	      A
814	12/31/1998	  D	      B
832	12/31/1998	  B	      A
-------------------------------------------------
 
-----------False positives in fold no.2----------
 
rm_key | statement_date | predicted | actual 
865	12/31/1998	  A	      B
899	12/31/1998	  C	      A
905	12/31/1998	  A	      B
910	12/31/1998	  A	      D
930	12/31/1998	  A	      B
974	12/31/1998	  F	      C
976	12/31/1998	  A	      B
980	12/31/1998	  F	      B
985	12/31/1998	  B	      A
989	12/31/1998	  A	      D
991	12/31/1998	  A	      B
995	12/31/1998	  A	      C
996	12/31/1998	  A	      D
1008	12/31/1998	  C	      B
1011	12/31/1998	  D	      C
1057	12/31/1998	  B	      C
1061	12/31/1998	  A	      F
1062	12/31/1998	  A	      B
1065	12/31/1998	  A	      B
715	6/30/1999	  D	      A
682	12/15/1999	  F	      B
632	12/31/1999	  A	      B
637	12/31/1999	  A	      C
660	12/31/1999	  A	      B
667	12/31/1999	  C	      B
671	12/31/1999	  A	      B
677	12/31/1999	  A	      B
694	12/31/1999	  A	      D
699	12/31/1999	  A	      C
700	12/31/1999	  B	      A
703	12/31/1999	  D	      A
712	12/31/1999	  A	      B
717	12/31/1999	  B	      F
722	12/31/1999	  F	      D
744	12/31/1999	  A	      B
748	12/31/1999	  A	      B
751	12/31/1999	  A	      B
759	12/31/1999	  A	      D
771	12/31/1999	  A	      B
774	12/31/1999	  A	      B
780	12/31/1999	  A	      D
781	12/31/1999	  B	      D
791	12/31/1999	  A	      B
797	12/31/1999	  A	      F
798	12/31/1999	  A	      B
801	12/31/1999	  A	      D
805	12/31/1999	  A	      D
808	12/31/1999	  A	      D
814	12/31/1999	  A	      B
815	12/31/1999	  A	      D
823	12/31/1999	  A	      F
831	12/31/1999	  A	      D
832	12/31/1999	  A	      D
862	12/31/1999	  A	      B
905	12/31/1999	  A	      B
910	12/31/1999	  A	      C
916	12/31/1999	  A	      F
933	12/31/1999	  A	      B
936	12/31/1999	  A	      D
938	12/31/1999	  A	      B
955	12/31/1999	  A	      B
965	12/31/1999	  B	      A
971	12/31/1999	  A	      D
-------------------------------------------------
 
-----------False positives in fold no.3----------
 
rm_key | statement_date | predicted | actual 
974	12/31/1999	  C	      F
976	12/31/1999	  C	      B
977	12/31/1999	  A	      D
979	12/31/1999	  A	      D
980	12/31/1999	  A	      B
985	12/31/1999	  A	      B
989	12/31/1999	  A	      F
991	12/31/1999	  A	      B
996	12/31/1999	  A	      D
998	12/31/1999	  A	      C
1003	12/31/1999	  B	      A
1004	12/31/1999	  C	      F
1005	12/31/1999	  B	      D
1008	12/31/1999	  A	      B
1010	12/31/1999	  A	      B
1011	12/31/1999	  A	      C
1042	12/31/1999	  A	      F
1048	12/31/1999	  A	      C
1049	12/31/1999	  B	      C
1056	12/31/1999	  D	      A
1057	12/31/1999	  B	      C
1061	12/31/1999	  A	      F
1062	12/31/1999	  A	      B
1065	12/31/1999	  A	      B
1141	12/31/1999	  F	      C
715	6/30/2000	  A	      D
632	12/31/2000	  B	      A
647	12/31/2000	  A	      B
655	12/31/2000	  A	      B
667	12/31/2000	  B	      C
668	12/31/2000	  A	      D
677	12/31/2000	  A	      F
678	12/31/2000	  A	      C
682	12/31/2000	  B	      A
703	12/31/2000	  A	      D
712	12/31/2000	  B	      F
716	12/31/2000	  A	      D
717	12/31/2000	  F	      B
720	12/31/2000	  B	      F
723	12/31/2000	  A	      F
744	12/31/2000	  B	      D
751	12/31/2000	  F	      C
755	12/31/2000	  D	      F
757	12/31/2000	  A	      F
758	12/31/2000	  A	      D
759	12/31/2000	  A	      C
760	12/31/2000	  A	      C
764	12/31/2000	  A	      B
770	12/31/2000	  B	      A
771	12/31/2000	  A	      B
781	12/31/2000	  C	      B
786	12/31/2000	  D	      F
791	12/31/2000	  A	      B
793	12/31/2000	  A	      D
796	12/31/2000	  A	      F
797	12/31/2000	  A	      B
798	12/31/2000	  A	      B
805	12/31/2000	  A	      D
808	12/31/2000	  B	      A
814	12/31/2000	  B	      D
823	12/31/2000	  F	      A
828	12/31/2000	  A	      D
832	12/31/2000	  A	      B
842	12/31/2000	  A	      D
862	12/31/2000	  A	      B
865	12/31/2000	  B	      A
873	12/31/2000	  A	      B
910	12/31/2000	  D	      C
916	12/31/2000	  A	      C
918	12/31/2000	  A	      B
922	12/31/2000	  A	      F
933	12/31/2000	  A	      B
953	12/31/2000	  B	      A
954	12/31/2000	  A	      D
955	12/31/2000	  A	      B
960	12/31/2000	  B	      D
971	12/31/2000	  A	      D
974	12/31/2000	  C	      F
976	12/31/2000	  C	      B
979	12/31/2000	  A	      D
980	12/31/2000	  A	      B
986	12/31/2000	  A	      B
988	12/31/2000	  A	      B
989	12/31/2000	  A	      D
991	12/31/2000	  A	      B
993	12/31/2000	  B	      D
995	12/31/2000	  C	      F
998	12/31/2000	  A	      B
1000	12/31/2000	  B	      A
1004	12/31/2000	  C	      D
1008	12/31/2000	  C	      B
1038	12/31/2000	  A	      B
1042	12/31/2000	  A	      F
1048	12/31/2000	  A	      F
1049	12/31/2000	  B	      D
1054	12/31/2000	  A	      B
1056	12/31/2000	  D	      A
1061	12/31/2000	  A	      B
1062	12/31/2000	  A	      B
1099	12/31/2000	  A	      B
1100	12/31/2000	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.4----------
 
rm_key | statement_date | predicted | actual 
1101	12/31/2000	  A	      B
1103	12/31/2000	  A	      B
1104	12/31/2000	  A	      B
1105	12/31/2000	  A	      B
1126	12/31/2000	  A	      B
1127	12/31/2000	  A	      B
1129	12/31/2000	  A	      B
1143	12/31/2000	  A	      D
1159	12/31/2000	  A	      B
1162	12/31/2000	  A	      C
1164	12/31/2000	  A	      C
1168	12/31/2000	  A	      B
653	9/30/2005	  A	      B
815	9/30/2005	  A	      B
252	12/31/2005	  A	      D
253	12/31/2005	  A	      B
259	12/31/2005	  A	      C
449	12/31/2005	  A	      C
454	12/31/2005	  A	      B
495	12/31/2005	  A	      D
501	12/31/2005	  A	      C
629	12/31/2005	  A	      C
632	12/31/2005	  A	      B
640	12/31/2005	  A	      D
647	12/31/2005	  A	      B
655	12/31/2005	  A	      B
667	12/31/2005	  B	      C
668	12/31/2005	  A	      C
671	12/31/2005	  A	      C
677	12/31/2005	  A	      B
682	12/31/2005	  B	      F
684	12/31/2005	  B	      F
686	12/31/2005	  D	      F
694	12/31/2005	  A	      C
698	12/31/2005	  A	      F
700	12/31/2005	  A	      B
706	12/31/2005	  A	      B
712	12/31/2005	  A	      D
714	12/31/2005	  A	      B
716	12/31/2005	  A	      F
718	12/31/2005	  B	      C
719	12/31/2005	  A	      D
720	12/31/2005	  F	      B
721	12/31/2005	  A	      C
722	12/31/2005	  D	      F
744	12/31/2005	  B	      F
745	12/31/2005	  A	      F
748	12/31/2005	  B	      A
751	12/31/2005	  C	      F
755	12/31/2005	  A	      D
756	12/31/2005	  A	      D
757	12/31/2005	  A	      C
759	12/31/2005	  A	      D
760	12/31/2005	  A	      B
766	12/31/2005	  A	      B
769	12/31/2005	  A	      C
770	12/31/2005	  A	      B
771	12/31/2005	  B	      F
772	12/31/2005	  A	      C
774	12/31/2005	  A	      C
780	12/31/2005	  A	      B
781	12/31/2005	  A	      F
783	12/31/2005	  A	      F
784	12/31/2005	  A	      C
785	12/31/2005	  A	      D
786	12/31/2005	  D	      C
788	12/31/2005	  A	      B
790	12/31/2005	  A	      B
792	12/31/2005	  A	      F
794	12/31/2005	  F	      C
796	12/31/2005	  A	      B
797	12/31/2005	  B	      A
803	12/31/2005	  A	      F
805	12/31/2005	  A	      C
808	12/31/2005	  A	      B
811	12/31/2005	  A	      D
814	12/31/2005	  B	      F
833	12/31/2005	  A	      D
834	12/31/2005	  A	      D
842	12/31/2005	  A	      D
853	12/31/2005	  A	      B
855	12/31/2005	  A	      B
856	12/31/2005	  A	      D
